intent,isAllDay,location,date,startTime,endTime,title,description,text,response
QUERY,0,Conference Room A,2026-5-2,16:00:00,18:00:00,Performance Review,Performance Review,Any meetings today?,You have an event 'Performance Review' on 2026-5-2 at 16:00:00. Would you like more details?
UPDATE,1,Online,2025-12-23,00:00:00,23:59:59,Project Deadline,Project Deadline,Reschedule Project Deadline to 2025-12-23 at 00:00,Got it—I've updated 'Project Deadline' to 2025-12-23 from 00:00:00 to 23:59:59 at Online.
ADD,0,Conference Room A,2025-5-16,10:45:00,11:15:00,Lunch with Fiona,Lunch with Fiona,Meeting tomorrow,Event 'Lunch with Fiona' has been added on 2025-5-16 from 10:45:00 to 11:15:00 at Conference Room A. Let me know if you need anything else!
CANCEL,0,Online,2025-7-25,16:30:00,18:30:00,Coffee Catch-up,Coffee Catch-up,Cancel Coffee Catch-up on 2025-07-25 at 16:30,Your event 'Coffee Catch-up' scheduled for 2025-7-25 at 16:30:00 has been canceled. Hope that helps!
ADD,0,Zoom,2025-1-7,13:00:00,15:00:00,Yoga Class,Yoga Class,Meeting tomorrow,Event 'Yoga Class' has been added on 2025-1-7 from 13:00:00 to 15:00:00 at Zoom. Let me know if you need anything else!
ADD,0,Conference Room A,2026-8-12,17:30:00,19:30:00,Performance Review,Performance Review,Put Performance Review on my calendar 2026-08-12 at 17:30 at Conference Room A,Event 'Performance Review' has been added on 2026-8-12 from 17:30:00 to 19:30:00 at Conference Room A. Let me know if you need anything else!
CANCEL,0,,2025-1-23,15:15:00,17:15:00,Yoga Class,Yoga Class,Cancel Yoga Class on 2025-01-23 at 15:15,Your event 'Yoga Class' scheduled for 2025-1-23 at 15:15:00 has been canceled. Hope that helps!
CHITCHAT,0,,,,,,,How are you today?,Glad you reached out—how can I help you today?
ADD,0,,2026-11-4,12:00:00,12:30:00,Birthday Party,Birthday Party,Schedule Birthday Party for 2026-11-04 12:00,Event 'Birthday Party' has been added on 2026-11-4 from 12:00:00 to 12:30:00. Let me know if you need anything else!
QUERY,0,Coffee Shop,2026-3-6,17:15:00,18:15:00,Team Meeting,Team Meeting,Do I have any events tomorrow?,You have an event 'Team Meeting' on 2026-3-6 at 17:15:00. Would you like more details?
UPDATE,0,,2026-5-14,08:30:00,10:30:00,Project Deadline,Project Deadline,Update Project Deadline details for 2026-04-21,Got it—I've updated 'Project Deadline' to 2026-5-14 from 08:30:00 to 10:30:00.
ADD,0,Office,2025-5-19,10:30:00,11:30:00,Birthday Party,Birthday Party,I need to set up Birthday Party next Monday at 10:30 at Office,Event 'Birthday Party' has been added on 2025-5-19 from 10:30:00 to 11:30:00 at Office. Let me know if you need anything else!
QUERY,0,Home,2025-11-14,09:30:00,11:30:00,Coffee Catch-up,Coffee Catch-up,Show me events next Monday,You have an event 'Coffee Catch-up' on 2025-11-14 at 09:30:00. Would you like more details?
UPDATE,0,Office,2025-5-30,16:45:00,18:45:00,Yoga Class,Yoga Class,Change the time of Yoga Class on 2025-06-19 to 16:45,Got it—I've updated 'Yoga Class' to 2025-5-30 from 16:45:00 to 18:45:00 at Office.
QUERY,0,Conference Room A,2026-5-6,16:00:00,18:00:00,Client Presentation,Client Presentation,Do I have any events tomorrow?,You have an event 'Client Presentation' on 2026-5-6 at 16:00:00. Would you like more details?
CHITCHAT,0,,,,,,,"What a lovely day, isn't it?",Glad you reached out—how can I help you today?
CHITCHAT,0,,,,,,,"What a lovely day, isn't it?",Glad you reached out—how can I help you today?
QUERY,0,Office,2025-2-24,08:00:00,10:00:00,Yoga Class,Yoga Class,Do I have any events tomorrow?,You have an event 'Yoga Class' on 2025-2-24 at 08:00:00. Would you like more details?
CANCEL,0,Office,2025-3-25,10:30:00,11:30:00,Team Meeting,Team Meeting,Please remove my Team Meeting scheduled for 2025-03-25 at Office,Your event 'Team Meeting' scheduled for 2025-3-25 at 10:30:00 has been canceled. Hope that helps!
CANCEL,0,Coffee Shop,2025-5-15,14:00:00,16:00:00,Performance Review,Performance Review,Cancel Performance Review on tomorrow at 14:00,Your event 'Performance Review' scheduled for 2025-5-15 at 14:00:00 has been canceled. Hope that helps!
ADD,0,Online,2025-5-16,11:15:00,13:15:00,Birthday Party,Birthday Party,Meeting tomorrow,Event 'Birthday Party' has been added on 2025-5-16 from 11:15:00 to 13:15:00 at Online. Let me know if you need anything else!
ADD,0,Office,2026-5-9,17:45:00,19:45:00,Lunch with Bob,Lunch with Bob,I need to set up Lunch with Bob 2026-05-09 at 17:45 at Office,Event 'Lunch with Bob' has been added on 2026-5-9 from 17:45:00 to 19:45:00 at Office. Let me know if you need anything else!
ADD,0,Coffee Shop,2025-12-27,10:15:00,12:15:00,Lunch with Charlie,Lunch with Charlie,I need to set up Lunch with Charlie 2025-12-27 at 10:15 at Coffee Shop,Event 'Lunch with Charlie' has been added on 2025-12-27 from 10:15:00 to 12:15:00 at Coffee Shop. Let me know if you need anything else!
CANCEL,0,Conference Room A,2025-1-25,14:45:00,15:45:00,Birthday Party,Birthday Party,Cancel my 3 PM event,Your event 'Birthday Party' scheduled for 2025-1-25 at 14:45:00 has been canceled. Hope that helps!
QUERY,0,Coffee Shop,2026-12-23,12:30:00,13:30:00,Lunch with Charlie,Lunch with Charlie,Show me events next Monday,You have an event 'Lunch with Charlie' on 2026-12-23 at 12:30:00. Would you like more details?
CANCEL,0,Online,2026-10-5,09:45:00,10:45:00,Team Meeting,Team Meeting,Delete Team Meeting on 2026-10-05 at 09:45,Your event 'Team Meeting' scheduled for 2026-10-5 at 09:45:00 has been canceled. Hope that helps!
ADD,0,Online,2025-5-15,16:00:00,18:00:00,Webinar,Webinar,Schedule Webinar for tomorrow 16:00 at Online,Event 'Webinar' has been added on 2025-5-15 from 16:00:00 to 18:00:00 at Online. Let me know if you need anything else!
UPDATE,0,Zoom,2025-9-5,16:45:00,17:45:00,Dentist Appointment,Dentist Appointment,Move Dentist Appointment from tomorrow at 13:15 to 2025-09-05 at 16:45,Got it—I've updated 'Dentist Appointment' to 2025-9-5 from 16:45:00 to 17:45:00 at Zoom.
QUERY,0,Conference Room A,2026-6-7,17:00:00,17:30:00,Client Presentation,Client Presentation,What's on my calendar for 2026-06-07?,You have an event 'Client Presentation' on 2026-6-7 at 17:00:00. Would you like more details?
CANCEL,0,,2025-5-15,10:30:00,11:00:00,Client Presentation,Client Presentation,Cancel Client Presentation on tomorrow at 10:30,Your event 'Client Presentation' scheduled for 2025-5-15 at 10:30:00 has been canceled. Hope that helps!
UPDATE,0,Office,2026-11-9,13:15:00,13:45:00,Birthday Party,Birthday Party,Change the time of Birthday Party on 2025-03-15 to 13:15,Got it—I've updated 'Birthday Party' to 2026-11-9 from 13:15:00 to 13:45:00 at Office.
CANCEL,0,Conference Room A,2026-5-15,10:15:00,12:15:00,Project Deadline,Project Deadline,Cancel Project Deadline on 2026-05-15 at 10:15,Your event 'Project Deadline' scheduled for 2026-5-15 at 10:15:00 has been canceled. Hope that helps!
CHITCHAT,0,,,,,,,Good morning! Ready for the day?,Glad you reached out—how can I help you today?
ADD,0,Coffee Shop,2026-3-13,11:45:00,12:45:00,Performance Review,Performance Review,Put Performance Review on my calendar 2026-03-13 at 11:45 at Coffee Shop,Event 'Performance Review' has been added on 2026-3-13 from 11:45:00 to 12:45:00 at Coffee Shop. Let me know if you need anything else!
ADD,0,Office,2025-3-14,12:15:00,14:15:00,Birthday Party,Birthday Party,I need to set up Birthday Party 2025-03-14 at 12:15 at Office,Event 'Birthday Party' has been added on 2025-3-14 from 12:15:00 to 14:15:00 at Office. Let me know if you need anything else!
UPDATE,0,Zoom,2026-4-29,12:45:00,13:15:00,Coffee Catch-up,Coffee Catch-up,Move Coffee Catch-up from today at 16:00 to 2026-04-29 at 12:45,Got it—I've updated 'Coffee Catch-up' to 2026-4-29 from 12:45:00 to 13:15:00 at Zoom.
QUERY,0,Coffee Shop,2026-12-9,13:15:00,14:15:00,Webinar,Webinar,Any meetings today?,You have an event 'Webinar' on 2026-12-9 at 13:15:00. Would you like more details?
CANCEL,1,Home,2025-5-15,00:00:00,23:59:59,Project Deadline,Project Deadline,Cancel my 3 PM event,Your event 'Project Deadline' scheduled for 2025-5-15 at 00:00:00 has been canceled. Hope that helps!
CHITCHAT,0,,,,,,,"What a lovely day, isn't it?",Glad you reached out—how can I help you today?
UPDATE,0,Coffee Shop,2025-12-22,11:15:00,13:15:00,Project Deadline,Project Deadline,Reschedule Project Deadline to 2025-12-22 at 11:15,Got it—I've updated 'Project Deadline' to 2025-12-22 from 11:15:00 to 13:15:00 at Coffee Shop.
QUERY,0,Home,2025-10-8,14:30:00,15:00:00,Webinar,Webinar,Show me events next Monday,You have an event 'Webinar' on 2025-10-8 at 14:30:00. Would you like more details?
CANCEL,0,Conference Room A,2025-9-19,14:15:00,14:45:00,Birthday Party,Birthday Party,Please remove my Birthday Party scheduled for 2025-09-19 at Conference Room A,Your event 'Birthday Party' scheduled for 2025-9-19 at 14:15:00 has been canceled. Hope that helps!
ADD,0,,2026-3-19,12:45:00,13:45:00,Yoga Class,Yoga Class,Meeting tomorrow,Event 'Yoga Class' has been added on 2026-3-19 from 12:45:00 to 13:45:00. Let me know if you need anything else!
ADD,1,Coffee Shop,2025-5-19,00:00:00,23:59:59,Dentist Appointment,Dentist Appointment,I need to set up Dentist Appointment next Monday at 00:00 at Coffee Shop,Event 'Dentist Appointment' has been added on 2025-5-19 from 00:00:00 to 23:59:59 at Coffee Shop. Let me know if you need anything else!
UPDATE,0,,2025-5-24,15:00:00,17:00:00,Coffee Catch-up,Coffee Catch-up,Reschedule Coffee Catch-up to 2025-05-24 at 15:00,Got it—I've updated 'Coffee Catch-up' to 2025-5-24 from 15:00:00 to 17:00:00.
UPDATE,0,,2025-3-3,10:15:00,12:15:00,Lunch with Charlie,Lunch with Charlie,Move Lunch with Charlie from 2025-09-03 at 09:15 to 2025-03-03 at 10:15,Got it—I've updated 'Lunch with Charlie' to 2025-3-3 from 10:15:00 to 12:15:00.
UPDATE,0,Conference Room A,2026-11-22,15:30:00,16:00:00,Yoga Class,Yoga Class,Update Yoga Class details for 2025-08-05 at Conference Room A,Got it—I've updated 'Yoga Class' to 2026-11-22 from 15:30:00 to 16:00:00 at Conference Room A.
ADD,0,Home,2025-3-28,15:45:00,16:15:00,Lunch with Charlie,Lunch with Charlie,Add Lunch with Charlie on 2025-03-28 at 15:45 at Home,Event 'Lunch with Charlie' has been added on 2025-3-28 from 15:45:00 to 16:15:00 at Home. Let me know if you need anything else!
CANCEL,0,Zoom,2025-7-12,15:30:00,17:30:00,Dentist Appointment,Dentist Appointment,Cancel Dentist Appointment on 2025-07-12 at 15:30,Your event 'Dentist Appointment' scheduled for 2025-7-12 at 15:30:00 has been canceled. Hope that helps!
CHITCHAT,0,,,,,,,How are you today?,Glad you reached out—how can I help you today?
UPDATE,0,,2026-2-18,17:45:00,18:45:00,Team Meeting,Team Meeting,Update Team Meeting details for tomorrow,Got it—I've updated 'Team Meeting' to 2026-2-18 from 17:45:00 to 18:45:00.
QUERY,1,Office,2025-2-7,00:00:00,23:59:59,Performance Review,Performance Review,What's on my calendar for 2025-02-07?,You have an event 'Performance Review' on 2025-2-7 at 00:00:00. Would you like more details?
UPDATE,0,Home,2026-2-16,16:15:00,16:45:00,Yoga Class,Yoga Class,Move Yoga Class from 2026-08-06 at 16:00 to 2026-02-16 at 16:15,Got it—I've updated 'Yoga Class' to 2026-2-16 from 16:15:00 to 16:45:00 at Home.
QUERY,0,Zoom,2025-5-15,15:30:00,16:30:00,Team Meeting,Team Meeting,Do I have any events tomorrow?,You have an event 'Team Meeting' on 2025-5-15 at 15:30:00. Would you like more details?
QUERY,0,,2026-4-30,10:00:00,12:00:00,Performance Review,Performance Review,Do I have any events tomorrow?,You have an event 'Performance Review' on 2026-4-30 at 10:00:00. Would you like more details?
CANCEL,0,Zoom,2025-7-15,11:00:00,11:30:00,Project Deadline,Project Deadline,Please remove my Project Deadline scheduled for 2025-07-15 at Zoom,Your event 'Project Deadline' scheduled for 2025-7-15 at 11:00:00 has been canceled. Hope that helps!
ADD,0,Coffee Shop,2025-5-15,13:15:00,15:15:00,Dentist Appointment,Dentist Appointment,Schedule Dentist Appointment for tomorrow 13:15 at Coffee Shop,Event 'Dentist Appointment' has been added on 2025-5-15 from 13:15:00 to 15:15:00 at Coffee Shop. Let me know if you need anything else!
ADD,0,Home,2026-10-20,15:00:00,17:00:00,Performance Review,Performance Review,Put Performance Review on my calendar 2026-10-20 at 15:00 at Home,Event 'Performance Review' has been added on 2026-10-20 from 15:00:00 to 17:00:00 at Home. Let me know if you need anything else!
CANCEL,1,,2025-3-16,00:00:00,23:59:59,Lunch with Ethan,Lunch with Ethan,Cancel Lunch with Ethan on 2025-03-16 at 00:00,Your event 'Lunch with Ethan' scheduled for 2025-3-16 at 00:00:00 has been canceled. Hope that helps!
UPDATE,1,Conference Room A,2026-11-8,00:00:00,23:59:59,Project Deadline,Project Deadline,Update Project Deadline details for 2026-02-22 at Conference Room A,Got it—I've updated 'Project Deadline' to 2026-11-8 from 00:00:00 to 23:59:59 at Conference Room A.
QUERY,0,Office,2025-5-16,15:15:00,16:15:00,Webinar,Webinar,Do I have any events tomorrow?,You have an event 'Webinar' on 2025-5-16 at 15:15:00. Would you like more details?
QUERY,0,Office,2025-2-8,15:30:00,16:00:00,Project Deadline,Project Deadline,What's on my calendar for 2025-02-08?,You have an event 'Project Deadline' on 2025-2-8 at 15:30:00. Would you like more details?
QUERY,1,Office,2025-5-21,00:00:00,23:59:59,Performance Review,Performance Review,What's on my calendar for 2025-05-21?,You have an event 'Performance Review' on 2025-5-21 at 00:00:00. Would you like more details?
CANCEL,0,Coffee Shop,2025-3-21,13:00:00,14:00:00,Project Deadline,Project Deadline,Cancel my 3 PM event,Your event 'Project Deadline' scheduled for 2025-3-21 at 13:00:00 has been canceled. Hope that helps!
QUERY,0,Office,2025-7-5,08:15:00,09:15:00,Project Deadline,Project Deadline,Do I have any events tomorrow?,You have an event 'Project Deadline' on 2025-7-5 at 08:15:00. Would you like more details?
CHITCHAT,0,,,,,,,Hello! Hope you're doing well.,Glad you reached out—how can I help you today?
ADD,0,,2026-2-16,16:00:00,16:30:00,Yoga Class,Yoga Class,Put Yoga Class on my calendar 2026-02-16 at 16:00,Event 'Yoga Class' has been added on 2026-2-16 from 16:00:00 to 16:30:00. Let me know if you need anything else!
ADD,0,Online,2025-7-19,10:15:00,10:45:00,Dentist Appointment,Dentist Appointment,Schedule Dentist Appointment for 2025-07-19 10:15 at Online,Event 'Dentist Appointment' has been added on 2025-7-19 from 10:15:00 to 10:45:00 at Online. Let me know if you need anything else!
CANCEL,0,Conference Room A,2026-2-26,08:45:00,10:45:00,Client Presentation,Client Presentation,Cancel my 3 PM event,Your event 'Client Presentation' scheduled for 2026-2-26 at 08:45:00 has been canceled. Hope that helps!
UPDATE,0,Zoom,2026-3-10,10:30:00,11:30:00,Lunch with Alice,Lunch with Alice,Move Lunch with Alice from 2026-07-24 at 13:15 to 2026-03-10 at 10:30,Got it—I've updated 'Lunch with Alice' to 2026-3-10 from 10:30:00 to 11:30:00 at Zoom.
UPDATE,0,Zoom,2026-12-4,14:00:00,14:30:00,Project Deadline,Project Deadline,Reschedule Project Deadline to 2026-12-04 at 14:00,Got it—I've updated 'Project Deadline' to 2026-12-4 from 14:00:00 to 14:30:00 at Zoom.
CHITCHAT,0,,,,,,,Hey there! How's it going?,Glad you reached out—how can I help you today?
UPDATE,0,,2025-12-18,14:45:00,16:45:00,Lunch with Charlie,Lunch with Charlie,Reschedule Lunch with Charlie to 2025-12-18 at 14:45,Got it—I've updated 'Lunch with Charlie' to 2025-12-18 from 14:45:00 to 16:45:00.
ADD,0,Office,2025-9-17,14:15:00,15:15:00,Project Deadline,Project Deadline,Meeting tomorrow,Event 'Project Deadline' has been added on 2025-9-17 from 14:15:00 to 15:15:00 at Office. Let me know if you need anything else!
CANCEL,0,Conference Room A,2025-10-29,17:30:00,18:00:00,Birthday Party,Birthday Party,Cancel Birthday Party on 2025-10-29 at 17:30,Your event 'Birthday Party' scheduled for 2025-10-29 at 17:30:00 has been canceled. Hope that helps!
ADD,0,,2025-12-19,11:30:00,12:00:00,Coffee Catch-up,Coffee Catch-up,Schedule Coffee Catch-up for 2025-12-19 11:30,Event 'Coffee Catch-up' has been added on 2025-12-19 from 11:30:00 to 12:00:00. Let me know if you need anything else!
ADD,0,Conference Room A,2025-12-25,15:45:00,17:45:00,Performance Review,Performance Review,Meeting tomorrow,Event 'Performance Review' has been added on 2025-12-25 from 15:45:00 to 17:45:00 at Conference Room A. Let me know if you need anything else!
CANCEL,0,Online,2025-5-14,08:15:00,10:15:00,Yoga Class,Yoga Class,Please remove my Yoga Class scheduled for today at Online,Your event 'Yoga Class' scheduled for 2025-5-14 at 08:15:00 has been canceled. Hope that helps!
ADD,0,Zoom,2025-6-11,14:00:00,16:00:00,Team Meeting,Team Meeting,Add Team Meeting on 2025-06-11 at 14:00 at Zoom,Event 'Team Meeting' has been added on 2025-6-11 from 14:00:00 to 16:00:00 at Zoom. Let me know if you need anything else!
UPDATE,1,Online,2026-12-11,00:00:00,23:59:59,Lunch with Alice,Lunch with Alice,Change the time of Lunch with Alice on next Monday to 00:00,Got it—I've updated 'Lunch with Alice' to 2026-12-11 from 00:00:00 to 23:59:59 at Online.
QUERY,0,Home,2026-5-14,14:00:00,14:30:00,Birthday Party,Birthday Party,What's on my calendar for 2026-05-14?,You have an event 'Birthday Party' on 2026-5-14 at 14:00:00. Would you like more details?
CHITCHAT,0,,,,,,,Good morning! Ready for the day?,Glad you reached out—how can I help you today?
CANCEL,1,Coffee Shop,2025-5-16,00:00:00,23:59:59,Client Presentation,Client Presentation,Cancel my 3 PM event,Your event 'Client Presentation' scheduled for 2025-5-16 at 00:00:00 has been canceled. Hope that helps!
UPDATE,0,Conference Room A,2025-10-21,14:00:00,16:00:00,Webinar,Webinar,Change the time of Webinar on 2025-10-05 to 14:00,Got it—I've updated 'Webinar' to 2025-10-21 from 14:00:00 to 16:00:00 at Conference Room A.
CANCEL,1,Home,2025-10-2,00:00:00,23:59:59,Coffee Catch-up,Coffee Catch-up,Delete Coffee Catch-up on 2025-10-02 at 00:00,Your event 'Coffee Catch-up' scheduled for 2025-10-2 at 00:00:00 has been canceled. Hope that helps!
UPDATE,0,Office,2025-11-9,09:15:00,11:15:00,Coffee Catch-up,Coffee Catch-up,Move Coffee Catch-up from 2025-07-10 at 10:15 to 2025-11-09 at 09:15,Got it—I've updated 'Coffee Catch-up' to 2025-11-9 from 09:15:00 to 11:15:00 at Office.
QUERY,0,Home,2026-11-9,10:15:00,11:15:00,Coffee Catch-up,Coffee Catch-up,Any meetings today?,You have an event 'Coffee Catch-up' on 2026-11-9 at 10:15:00. Would you like more details?
QUERY,0,Zoom,2025-2-13,16:30:00,17:30:00,Lunch with Diana,Lunch with Diana,Any meetings today?,You have an event 'Lunch with Diana' on 2025-2-13 at 16:30:00. Would you like more details?
QUERY,0,Zoom,2025-10-29,17:30:00,19:30:00,Client Presentation,Client Presentation,Do I have any events tomorrow?,You have an event 'Client Presentation' on 2025-10-29 at 17:30:00. Would you like more details?
UPDATE,0,Conference Room A,2026-11-30,15:30:00,16:00:00,Yoga Class,Yoga Class,Move Yoga Class from 2026-12-10 at 16:15 to 2026-11-30 at 15:30,Got it—I've updated 'Yoga Class' to 2026-11-30 from 15:30:00 to 16:00:00 at Conference Room A.
ADD,0,Conference Room A,2026-7-17,09:45:00,10:45:00,Client Presentation,Client Presentation,Schedule Client Presentation for 2026-07-17 09:45 at Conference Room A,Event 'Client Presentation' has been added on 2026-7-17 from 09:45:00 to 10:45:00 at Conference Room A. Let me know if you need anything else!
UPDATE,0,Office,2026-1-13,11:00:00,13:00:00,Performance Review,Performance Review,Change the time of Performance Review on 2025-03-26 to 11:00,Got it—I've updated 'Performance Review' to 2026-1-13 from 11:00:00 to 13:00:00 at Office.
QUERY,0,Conference Room A,2025-3-9,09:00:00,11:00:00,Dentist Appointment,Dentist Appointment,Show me events next Monday,You have an event 'Dentist Appointment' on 2025-3-9 at 09:00:00. Would you like more details?
ADD,0,Online,2025-3-9,12:15:00,14:15:00,Dentist Appointment,Dentist Appointment,I need to set up Dentist Appointment 2025-03-09 at 12:15 at Online,Event 'Dentist Appointment' has been added on 2025-3-9 from 12:15:00 to 14:15:00 at Online. Let me know if you need anything else!
UPDATE,0,,2025-7-19,11:00:00,12:00:00,Birthday Party,Birthday Party,Reschedule Birthday Party to 2025-07-19 at 11:00,Got it—I've updated 'Birthday Party' to 2025-7-19 from 11:00:00 to 12:00:00.
ADD,0,Zoom,2025-6-9,12:15:00,12:45:00,Lunch with Hannah,Lunch with Hannah,Put Lunch with Hannah on my calendar 2025-06-09 at 12:15 at Zoom,Event 'Lunch with Hannah' has been added on 2025-6-9 from 12:15:00 to 12:45:00 at Zoom. Let me know if you need anything else!
UPDATE,0,Office,2025-11-19,16:45:00,17:15:00,Yoga Class,Yoga Class,Reschedule Yoga Class to 2025-11-19 at 16:45,Got it—I've updated 'Yoga Class' to 2025-11-19 from 16:45:00 to 17:15:00 at Office.
QUERY,0,Online,2026-1-28,15:30:00,16:30:00,Webinar,Webinar,What are my appointments on 2026-01-28?,You have an event 'Webinar' on 2026-1-28 at 15:30:00. Would you like more details?
QUERY,0,Conference Room A,2026-4-27,12:15:00,14:15:00,Team Meeting,Team Meeting,Any meetings today?,You have an event 'Team Meeting' on 2026-4-27 at 12:15:00. Would you like more details?
ADD,0,Conference Room A,2025-9-30,08:45:00,09:15:00,Performance Review,Performance Review,Add Performance Review on 2025-09-30 at 08:45 at Conference Room A,Event 'Performance Review' has been added on 2025-9-30 from 08:45:00 to 09:15:00 at Conference Room A. Let me know if you need anything else!
UPDATE,0,Coffee Shop,2025-7-29,13:30:00,14:30:00,Coffee Catch-up,Coffee Catch-up,Move Coffee Catch-up from 2026-01-22 at 16:15 to 2025-07-29 at 13:30,Got it—I've updated 'Coffee Catch-up' to 2025-7-29 from 13:30:00 to 14:30:00 at Coffee Shop.
