text,intent,title,description,response,date,startTime,endTime,location,isAllDay
Change time of Conference Call to 14:00 on next Friday at Main Conference Room,UPDATE,Conference Call,Call with team,"Sure, I've updated 'Conference Call' to 2025-5-16 from 14:00:00 to 16:00:00 at Main Conference Room.",2025-5-16,14:00:00,16:00:00,Main Conference Room,False
Change time of Conference Call to 9:30 AM on next Thursday at Cafe Rio,UPDATE,Conference Call,Call with team,"Sure, I've updated 'Conference Call' to 2025-5-15 from 09:00:00 to 10:00:00 at Cafe Rio.",2025-5-15,09:00:00,10:00:00,Cafe Rio,False
Cancel my 9:30 AM event,CANCEL,9:30 AM event,9:30 AM event,Your event '9:30 AM event' on 2025-6-2 at 09:00:00 has been canceled. Let me know if there's anything else I can do!,2025-6-2,09:00:00,09:30:00,Zoom,False
"Cancel my Lunch with John December 27, 2025 at 9:30 AM",CANCEL,Lunch with John,Casual lunch,Your event 'Lunch with John' on 2025-12-27 at 09:00:00 has been canceled. Let me know if there's anything else I can do!,2025-12-27,09:00:00,11:00:00,Clinic,False
"Add Dentist Visit December 23, 2026 at 11 AM at Google Meet at Google Meet",ADD,Dentist Visit,Dental check-up,"Great, I've added 'Dentist Visit' on 2026-12-23 from 11:00:00 to 12:30:00 at Google Meet. Let me know if you need anything else!",2026-12-23,11:00:00,12:30:00,Google Meet,False
"Add Interview with Candidate July 30, 2026 at 8:00 at Home at Home",ADD,Interview with Candidate,Candidate interview,"Great, I've added 'Interview with Candidate' on 2026-7-30 from 08:00:00 to 09:00:00 at Home. Let me know if you need anything else!",2026-7-30,08:00:00,09:00:00,Home,False
"Change time of Lunch with John to 3 PM on July 18, 2026 at Clinic",UPDATE,Lunch with John,Casual lunch,"Sure, I've updated 'Lunch with John' to 2026-7-18 from 15:00:00 to 16:30:00 at Clinic.",2026-7-18,15:00:00,16:30:00,Clinic,False
"Cancel my Team Meeting May 6, 2026 at 3 PM",CANCEL,Team Meeting,Weekly sync-up,Your event 'Team Meeting' on 2026-5-6 at 15:00:00 has been canceled. Let me know if there's anything else I can do!,2026-5-6,15:00:00,15:30:00,Office,False
Add Team Meeting next Wednesday at 8:00 at Cafe Rio at Cafe Rio,ADD,Team Meeting,Weekly sync-up,"Great, I've added 'Team Meeting' on 2025-5-21 from 08:00:00 to 10:00:00 at Cafe Rio. Let me know if you need anything else!",2025-5-21,08:00:00,10:00:00,Cafe Rio,False
"Cancel my Yoga Class June 15, 2026 at 16:45",CANCEL,Yoga Class,Morning yoga session,Your event 'Yoga Class' on 2026-6-15 at 16:45:00 has been canceled. Let me know if there's anything else I can do!,2026-6-15,16:45:00,18:45:00,Teams,False
Cancel my Performance Review tomorrow at 9:30 AM,CANCEL,Performance Review,Annual review,Your event 'Performance Review' on 2025-5-15 at 09:00:00 has been canceled. Let me know if there's anything else I can do!,2025-5-15,09:00:00,10:30:00,Zoom,False
Add Lunch with John next Thursday at 9:30 AM at Gym at Gym,ADD,Lunch with John,Casual lunch,"Great, I've added 'Lunch with John' on 2025-5-15 from 09:00:00 to 10:00:00 at Gym. Let me know if you need anything else!",2025-5-15,09:00:00,10:00:00,Gym,False
"Reschedule my Data Workshop to June 10, 2025 at 9:30 AM at Zoom",UPDATE,Data Workshop,Hands-on data workshop,"Sure, I've updated 'Data Workshop' to 2025-6-10 from 09:00:00 to 10:00:00 at Zoom.",2025-6-10,09:00:00,10:00:00,Zoom,False
Add Dentist Visit next Wednesday at 9:30 AM,ADD,Dentist Visit,Dental check-up,"Great, I've added 'Dentist Visit' on 2025-5-21 from 09:00:00 to 09:30:00. Let me know if you need anything else!",2025-5-21,09:00:00,09:30:00,,False
"Add Data Workshop July 11, 2026 at 8:00 at Teams at Teams",ADD,Data Workshop,Hands-on data workshop,"Great, I've added 'Data Workshop' on 2026-7-11 from 08:00:00 to 09:00:00 at Teams. Let me know if you need anything else!",2026-7-11,08:00:00,09:00:00,Teams,False
"Add Coffee with Sarah June 10, 2026 at 16:45 at Main Conference Room at Main Conference Room",ADD,Coffee with Sarah,Catch-up over coffee,"Great, I've added 'Coffee with Sarah' on 2026-6-10 from 16:45:00 to 18:15:00 at Main Conference Room. Let me know if you need anything else!",2026-6-10,16:45:00,18:15:00,Main Conference Room,False
"Add Marketing Presentation January 25, 2026 at 14:00 at Main Conference Room at Main Conference Room",ADD,Marketing Presentation,Present marketing strategy,"Great, I've added 'Marketing Presentation' on 2026-1-25 from 14:00:00 to 16:00:00 at Main Conference Room. Let me know if you need anything else!",2026-1-25,14:00:00,16:00:00,Main Conference Room,False
Add Marketing Presentation next Tuesday at 8:00 at Teams at Teams,ADD,Marketing Presentation,Present marketing strategy,"Great, I've added 'Marketing Presentation' on 2025-5-20 from 08:00:00 to 09:30:00 at Teams. Let me know if you need anything else!",2025-5-20,08:00:00,09:30:00,Teams,False
Add Dentist Visit next Wednesday at 3 PM at Office at Office,ADD,Dentist Visit,Dental check-up,"Great, I've added 'Dentist Visit' on 2025-5-21 from 15:00:00 to 16:30:00 at Office. Let me know if you need anything else!",2025-5-21,15:00:00,16:30:00,Office,False
"Add Yoga Class all day on August 21, 2026 at Gym",ADD,Yoga Class,Morning yoga session,"Great, I've added 'Yoga Class' on 2026-8-21 from 00:00:00 to 23:59:59 at Gym. Let me know if you need anything else!",2026-8-21,00:00:00,23:59:59,Gym,True
Reschedule my Performance Review to tomorrow at 3 PM at Google Meet,UPDATE,Performance Review,Annual review,"Sure, I've updated 'Performance Review' to 2025-5-15 from 15:00:00 to 17:00:00 at Google Meet.",2025-5-15,15:00:00,17:00:00,Google Meet,False
"Cancel my Coffee with Sarah August 22, 2026 at 9:30 AM",CANCEL,Coffee with Sarah,Catch-up over coffee,Your event 'Coffee with Sarah' on 2026-8-22 at 09:00:00 has been canceled. Let me know if there's anything else I can do!,2026-8-22,09:00:00,10:30:00,Main Conference Room,False
"Cancel my Doctor Appointment November 10, 2025 at 8:00",CANCEL,Doctor Appointment,Health check-up,Your event 'Doctor Appointment' on 2025-11-10 at 08:00:00 has been canceled. Let me know if there's anything else I can do!,2025-11-10,08:00:00,09:00:00,Clinic,False
Add Board Meeting next Tuesday at 8:00 at Clinic at Clinic,ADD,Board Meeting,High-level board discussion,"Great, I've added 'Board Meeting' on 2025-5-20 from 08:00:00 to 10:00:00 at Clinic. Let me know if you need anything else!",2025-5-20,08:00:00,10:00:00,Clinic,False
Update Doctor Appointment to an all-day event on tomorrow,UPDATE,Doctor Appointment,Health check-up,"Sure, I've updated 'Doctor Appointment' to 2025-5-15 from 00:00:00 to 23:59:59 at Cafe Rio.",2025-5-15,00:00:00,23:59:59,Cafe Rio,True
"Add Team Meeting October 20, 2025 at 3 PM",ADD,Team Meeting,Weekly sync-up,"Great, I've added 'Team Meeting' on 2025-10-20 from 15:00:00 to 15:30:00. Let me know if you need anything else!",2025-10-20,15:00:00,15:30:00,,False
Move Team Meeting to day after tomorrow at 16:45 at Zoom,UPDATE,Team Meeting,Weekly sync-up,"Sure, I've updated 'Team Meeting' to 2025-5-16 from 16:45:00 to 17:15:00 at Zoom.",2025-5-16,16:45:00,17:15:00,Zoom,False
"Move Yoga Class to January 24, 2026 at 11 AM at Office",UPDATE,Yoga Class,Morning yoga session,"Sure, I've updated 'Yoga Class' to 2026-1-24 from 11:00:00 to 12:00:00 at Office.",2026-1-24,11:00:00,12:00:00,Office,False
Update Doctor Appointment date to tomorrow and time to 8:00 at Main Conference Room,UPDATE,Doctor Appointment,Health check-up,"Sure, I've updated 'Doctor Appointment' to 2025-5-15 from 08:00:00 to 08:30:00 at Main Conference Room.",2025-5-15,08:00:00,08:30:00,Main Conference Room,False
Add Data Workshop next Friday at 14:00,ADD,Data Workshop,Hands-on data workshop,"Great, I've added 'Data Workshop' on 2025-5-16 from 14:00:00 to 16:00:00. Let me know if you need anything else!",2025-5-16,14:00:00,16:00:00,,False
Add Conference Call next Thursday at 3 PM at Google Meet at Google Meet,ADD,Conference Call,Call with team,"Great, I've added 'Conference Call' on 2025-5-15 from 15:00:00 to 16:30:00 at Google Meet. Let me know if you need anything else!",2025-5-15,15:00:00,16:30:00,Google Meet,False
Add Board Meeting next Friday at 16:45 at Office at Office,ADD,Board Meeting,High-level board discussion,"Great, I've added 'Board Meeting' on 2025-5-16 from 16:45:00 to 18:45:00 at Office. Let me know if you need anything else!",2025-5-16,16:45:00,18:45:00,Office,False
"Move Board Meeting to August 19, 2026 at 16:45 at Gym",UPDATE,Board Meeting,High-level board discussion,"Sure, I've updated 'Board Meeting' to 2026-8-19 from 16:45:00 to 17:45:00 at Gym.",2026-8-19,16:45:00,17:45:00,Gym,False
Add Marketing Presentation tomorrow at 11 AM at Main Conference Room at Main Conference Room,ADD,Marketing Presentation,Present marketing strategy,"Great, I've added 'Marketing Presentation' on 2025-5-15 from 11:00:00 to 12:00:00 at Main Conference Room. Let me know if you need anything else!",2025-5-15,11:00:00,12:00:00,Main Conference Room,False
"Cancel my all-day Marketing Presentation on August 6, 2025",CANCEL,Marketing Presentation,Present marketing strategy,Your event 'Marketing Presentation' on 2025-8-6 at 00:00:00 has been canceled. Let me know if there's anything else I can do!,2025-8-6,00:00:00,23:59:59,Zoom,True
"Update Team Meeting date to April 14, 2026 and time to 14:00 at Google Meet",UPDATE,Team Meeting,Weekly sync-up,"Sure, I've updated 'Team Meeting' to 2026-4-14 from 14:00:00 to 16:00:00 at Google Meet.",2026-4-14,14:00:00,16:00:00,Google Meet,False
Cancel my Conference Call next Tuesday at 9:30 AM,CANCEL,Conference Call,Call with team,Your event 'Conference Call' on 2025-5-20 at 09:00:00 has been canceled. Let me know if there's anything else I can do!,2025-5-20,09:00:00,09:30:00,Cafe Rio,False
Cancel my Lunch with John tomorrow at 14:00,CANCEL,Lunch with John,Casual lunch,Your event 'Lunch with John' on 2025-5-15 at 14:00:00 has been canceled. Let me know if there's anything else I can do!,2025-5-15,14:00:00,16:00:00,Home,False
"Move Interview with Candidate to November 22, 2026 at 8:00 at Google Meet",UPDATE,Interview with Candidate,Candidate interview,"Sure, I've updated 'Interview with Candidate' to 2026-11-22 from 08:00:00 to 10:00:00 at Google Meet.",2026-11-22,08:00:00,10:00:00,Google Meet,False
"Cancel my Data Workshop December 12, 2026 at 14:00",CANCEL,Data Workshop,Hands-on data workshop,Your event 'Data Workshop' on 2026-12-12 at 14:00:00 has been canceled. Let me know if there's anything else I can do!,2026-12-12,14:00:00,14:30:00,Clinic,False
"Cancel my Dentist Visit August 17, 2025 at 3 PM",CANCEL,Dentist Visit,Dental check-up,Your event 'Dentist Visit' on 2025-8-17 at 15:00:00 has been canceled. Let me know if there's anything else I can do!,2025-8-17,15:00:00,16:30:00,Home,False
"Change time of Board Meeting to 3 PM on December 19, 2026 at Teams",UPDATE,Board Meeting,High-level board discussion,"Sure, I've updated 'Board Meeting' to 2026-12-19 from 15:00:00 to 17:00:00 at Teams.",2026-12-19,15:00:00,17:00:00,Teams,False
Add Marketing Presentation next Wednesday at 9:30 AM at Clinic at Clinic,ADD,Marketing Presentation,Present marketing strategy,"Great, I've added 'Marketing Presentation' on 2025-5-21 from 09:00:00 to 10:00:00 at Clinic. Let me know if you need anything else!",2025-5-21,09:00:00,10:00:00,Clinic,False
"Add Coffee with Sarah September 29, 2026 at 9:30 AM at Cafe Rio at Cafe Rio",ADD,Coffee with Sarah,Catch-up over coffee,"Great, I've added 'Coffee with Sarah' on 2026-9-29 from 09:00:00 to 11:00:00 at Cafe Rio. Let me know if you need anything else!",2026-9-29,09:00:00,11:00:00,Cafe Rio,False
"Add Board Meeting May 2, 2026 at 8:00",ADD,Board Meeting,High-level board discussion,"Great, I've added 'Board Meeting' on 2026-5-2 from 08:00:00 to 09:00:00. Let me know if you need anything else!",2026-5-2,08:00:00,09:00:00,,False
"Cancel my Performance Review July 19, 2025 at 11 AM",CANCEL,Performance Review,Annual review,Your event 'Performance Review' on 2025-7-19 at 11:00:00 has been canceled. Let me know if there's anything else I can do!,2025-7-19,11:00:00,11:30:00,Teams,False
Cancel my Performance Review day after tomorrow at 3 PM,CANCEL,Performance Review,Annual review,Your event 'Performance Review' on 2025-5-16 at 15:00:00 has been canceled. Let me know if there's anything else I can do!,2025-5-16,15:00:00,16:00:00,Zoom,False
Add Project Review next Tuesday at 8:00 at Google Meet at Google Meet,ADD,Project Review,Review project milestones,"Great, I've added 'Project Review' on 2025-5-20 from 08:00:00 to 09:30:00 at Google Meet. Let me know if you need anything else!",2025-5-20,08:00:00,09:30:00,Google Meet,False
"Move Conference Call to April 1, 2026 at 11 AM at Zoom",UPDATE,Conference Call,Call with team,"Sure, I've updated 'Conference Call' to 2026-4-1 from 11:00:00 to 12:30:00 at Zoom.",2026-4-1,11:00:00,12:30:00,Zoom,False
Add Marketing Presentation day after tomorrow at 9:30 AM at Cafe Rio at Cafe Rio,ADD,Marketing Presentation,Present marketing strategy,"Great, I've added 'Marketing Presentation' on 2025-5-16 from 09:00:00 to 10:30:00 at Cafe Rio. Let me know if you need anything else!",2025-5-16,09:00:00,10:30:00,Cafe Rio,False
Cancel my AI Trends Webinar next Monday at 3 PM,CANCEL,AI Trends Webinar,Online AI seminar,Your event 'AI Trends Webinar' on 2025-5-19 at 15:00:00 has been canceled. Let me know if there's anything else I can do!,2025-5-19,15:00:00,17:00:00,Google Meet,False
"Cancel my Dentist Visit September 17, 2025 at 16:45",CANCEL,Dentist Visit,Dental check-up,Your event 'Dentist Visit' on 2025-9-17 at 16:45:00 has been canceled. Let me know if there's anything else I can do!,2025-9-17,16:45:00,17:45:00,Home,False
Change time of Doctor Appointment to 9:30 AM on next Friday at Google Meet,UPDATE,Doctor Appointment,Health check-up,"Sure, I've updated 'Doctor Appointment' to 2025-5-16 from 09:00:00 to 11:00:00 at Google Meet.",2025-5-16,09:00:00,11:00:00,Google Meet,False
